Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
01-05-70,0.260633000,0.260633000,0.259182000,0.259182000,4300800,0,0
01-05-70,0.259908000,0.260634000,0.259908000,0.259908000,13632000,0,0
01-05-70,0.258456000,0.258456000,0.257004000,0.257004000,10099200,0,0
01-05-70,0.258456000,0.259182000,0.258456000,0.258456000,5990400,0,0
01-05-70,0.258456000,0.258456000,0.257730000,0.257730000,4800000,0,0
01-05-70,0.255551000,0.255551000,0.254825000,0.254825000,5337600,0,0
01-05-70,0.262085000,0.262811000,0.262085000,0.262085000,9139200,0,0
01-05-70,0.273701000,0.27442800,0.273701000,0.273701000,11577600,0,0
01-05-70,0.274428000,0.275154000,0.274428000,0.274428000,14227200,0,0
01-05-70,0.276606000,0.277332000,0.276606000,0.276606000,6086400,0,0
01-05-70,0.273701000,0.273701000,0.272249000,0.272249000,8313600,0,0
01-05-70,0.262811000,0.262811000,0.262085000,0.262085000,7142400,0,0
01-05-70,0.260633000,0.260633000,0.259182000,0.259182000,10022400,0,0
01-05-70,0.257004000,0.257004000,0.256277000,0.256277000,11520000,0,0
01-05-70,0.254100000,0.254100000,0.252648000,0.252648000,9312000,0,0
01-05-70,0.253374000,0.254099000,0.253374000,0.253374000,3801600,0,0
01-05-70,0.258456000,0.259908000,0.258456000,0.258456000,6086400,0,0
01-05-70,0.261359000,0.262085000,0.261359000,0.261359000,5971200,0,0
01-05-70,0.261360000,0.262085000,0.260634000,0.260634000,4281600,0,0
01-05-70,0.269346000,0.270072000,0.269346000,0.269346000,5068800,0,0
01-05-70,0.286044000,0.287495000,0.286044000,0.286044000,10060800,0,0
01-05-70,0.286770000,0.288221000,0.286770000,0.286770000,9158400,0,0
01-05-70,0.281687000,0.281687000,0.280961000,0.280961000,25036800,0,0
01-05-70,0.280961000,0.281687000,0.28023500,0.28023500,8697600,0,2
01-05-70,0.278784000,0.278784000,0.27733200,0.27733200,6624000,0,0
01-05-70,0.2787840,0.280235000,0.2787840,0.2787840,3235200,0,0
01-05-70,0.28023500,0.283140000,0.28023500,0.28023500,6652800,0,0
01-05-70,0.286044000,0.287495000,0.286044000,0.286044000,4416000,0,0
01-05-70,0.286043000,0.287495000,0.284592000,0.284592000,5942400,0,0
01-05-70,0.284592000,0.284592000,0.281687000,0.281687000,6988800,0,0
01-05-70,0.280235000,0.280235000,0.2787840,0.2787840,6489600,0,0
01-05-70,0.277332000,0.277332000,0.275880000,0.275880000,8908800,0,0
01-05-70,0.2787840,0.280235000,0.2787840,0.2787840,5136000,0,0
01-05-70,0.275880000,0.275880000,0.272975000,0.272975000,3206400,0,0
01-05-70,0.268620000,0.268620000,0.267168000,0.267168000,4204800,0,0
01-05-70,0.254100000,0.254100000,0.252648000,0.252648000,5769600,0,0
01-05-70,0.259908000,0.26281100,0.259908000,0.259908000,4473600,0,0
01-05-70,0.265716000,0.267168000,0.265716000,0.265716000,6844800,0,0
01-05-70,0.241032000,0.241032000,0.238127000,0.238127000,54960000,0,0
01-05-70,0.243936000,0.245387000,0.243936000,0.243936000,16579200,0,0
01-05-70,0.243936000,0.245387000,0.243936000,0.243936000,18777600,0,0
01-05-70,0.261359000,0.262811000,0.261359000,0.261359000,16108800,0,0
01-05-70,0.246839000,0.246839000,0.245387000,0.245387000,20659200,0,0
01-05-70,0.249744000,0.252648000,0.249744000,0.249744000,7334400,0,0
01-05-70,0.249744000,0.251196000,0.248292000,0.248292000,8390400,0,0
01-05-70,0.252648000,0.254100000,0.252648000,0.252648000,8620800,0,0
01-05-70,0.261359000,0.262811000,0.261359000,0.261359000,13440000,0,0
01-05-70,0.267168000,0.268620000,0.267168000,0.267168000,9753600,0,0
01-05-70,0.2787840,0.281687000,0.2787840,0.2787840,12028800,0,0
01-05-70,0.28023500,0.281687000,0.28023500,0.28023500,8515200,0,0
01-05-70,0.287495000,0.288947000,0.287495000,0.287495000,8467200,0,0
01-05-70,0.284592000,0.284592000,0.283140000,0.283140000,10387200,0,0
01-05-70,0.281687000,0.281687000,0.28023500,0.28023500,11251200,0,0
01-05-70,0.277332000,0.277332000,0.275880000,0.275880000,10684800,0,0
01-05-70,0.274428000,0.274428000,0.271523000,0.271523000,8688000,0,0
01-05-70,0.271523000,0.272975000,0.271523000,0.271523000,5990400,0,0
01-05-70,0.272975000,0.274428000,0.272975000,0.272975000,5654400,0,0
01-05-70,0.272975000,0.272975000,0.270071000,0.270071000,5088000,0,0
01-05-70,0.252648000,0.252648000,0.249744000,0.249744000,5328000,0,0
01-05-70,0.249744000,0.252648000,0.249744000,0.249744000,12768000,0,0
01-05-70,0.252648000,0.25555100,0.252648000,0.252648000,7478400,0,0
01-05-70,0.257730000,0.259908000,0.257730000,0.257730000,9398400,0,0
01-05-70,0.242484000,0.242484000,0.241032000,0.241032000,12278400,0,0
01-05-70,0.233772000,0.233772000,0.232320000,0.232320000,13363200,0,0
01-05-70,0.242484000,0.245387000,0.242484000,0.242484000,20572800,0,0
01-05-70,0.24103200,0.24103200,0.239580000,0.239580000,17558400,0,0
01-05-70,0.235224000,0.235224000,0.232320000,0.232320000,23481600,0,0
01-05-70,0.239580000,0.24103200,0.239580000,0.239580000,12460800,0,0
01-05-70,0.239580000,0.24103200,0.239580000,0.239580000,8544000,0,0
01-05-70,0.241032000,0.243935000,0.241032000,0.241032000,16425600,0,0
01-05-70,0.238127000,0.238127000,0.236675000,0.236675000,15753600,0,0
01-05-70,0.236675000,0.238127000,0.235224000,0.235224000,18508800,0,0
01-05-70,0.226511000,0.226511000,0.22360800,0.22360800,31900800,0,0
01-05-70,0.22360800,0.225059000,0.22360800,0.22360800,19526400,0,0
01-05-70,0.227963000,0.229415000,0.227963000,0.227963000,17145600,0,0
01-05-70,0.232320000,0.235224000,0.232320000,0.232320000,11808000,0,0
01-05-70,0.238127000,0.241032000,0.238127000,0.238127000,4300800,0,0
01-05-70,0.232320000,0.232320000,0.230868000,0.230868000,15782400,0,0
01-05-70,0.233772000,0.235224000,0.233772000,0.233772000,8131200,0,0
01-05-70,0.233772000,0.23667600,0.233772000,0.233772000,6624000,0,0
01-05-70,0.233772000,0.23667600,0.233772000,0.233772000,7795200,0,0
01-05-70,0.242484000,0.245387000,0.242484000,0.242484000,9187200,0,0
01-05-70,0.238127000,0.238127000,0.236675000,0.236675000,16099200,0,0
01-05-70,0.230868000,0.230868000,0.229415000,0.229415000,16857600,0,0
01-05-70,0.226512000,0.226512000,0.225060000,0.225060000,12556800,0,0
01-05-70,0.225060000,0.226512000,0.225060000,0.225060000,8332800,0,0
01-05-70,0.222156000,0.222156000,0.220703000,0.220703000,13574400,0,0
01-05-70,0.220703000,0.220703000,0.219252000,0.219252000,14630400,0,0
01-05-70,0.220703000,0.223608000,0.220703000,0.220703000,5702400,0,0
01-05-70,0.222156000,0.225060000,0.222156000,0.222156000,10051200,0,0
01-05-70,0.232320000,0.233772000,0.232320000,0.232320000,12768000,0,0
01-05-70,0.232320000,0.233772000,0.232320000,0.232320000,7180800,0,0
01-05-70,0.226512000,0.226512000,0.225060000,0.225060000,7017600,0,0
